Ranking,Usina,Grupo,Tamanho(ha),Status da Usina,Etapa,Status CRM,Valor,Vendedor,Produto,Estado
,Usina 281,Grupo AR,35.700,Recuperação,,,,,,Goiás
,Usina 321,Grupo AB,35.700,Fechado,,,,,,São Paulo
,Usina 419,Grupo AK,35.700,Ativa,,,,,,Minas Gerais
,Usina 82,Grupo CN,35.700,Ativa,,,,,,São Paulo
,Usina 125,Grupo BL,35.000,Ativa,,,,,,Alagoas
,Usina 169,Grupo AZ,35.000,Ativa,,,,,,Paraná
,Usina 25,Grupo U,35.000,Ativa,,,,,,Mato Grosso
,Usina 224,Grupo S,34.500,Ativa,,,,,,São Paulo
,Usina 346,Grupo AY,34.500,Ativa,,,,,,São Paulo
,Usina 368,Grupo CF,34.500,Recuperação,,,,,,São Paulo
,Usina 142,Grupo N,34.100,Ativa,,,,,,Minas Gerais
,Usina 154,Grupo AR,34.100,Recuperação,,,,,,Goiás
,Usina 187,Grupo BQ,34.100,Ativa,,,,,,São Paulo
,Usina 210,Grupo N,34.100,Ativa,,,,,,Tocantins
,Usina 57,Grupo AU,34.100,Ativa,,,,,,Goiás
,Usina 91,Grupo AE,34.100,Recuperação,,,,,,São Paulo
,Usina 95,Grupo J,34.100,Ativa,,,,,,Minas Gerais
,Usina 190,Grupo BV,32.750,Ativa,,,,,,São Paulo
,Usina 211,Grupo AJ,28.500,Recuperação,,,,,,São Paulo
,Usina 179,Grupo BX,32.000,Ativa,,,,,,Mato Grosso do Sul
,Usina 158,Grupo N,31.800,Ativa,,,,,,Minas Gerais
,Usina 212,Grupo BG,30.100,Ativa,,,,,,São Paulo
,Usina 223,Grupo BY,25.750,Recuperação,,,,,,Paraná
,Usina 227,Grupo BX,31.300,Ativa,,,,,,São Paulo
,Usina 231,Grupo AQ,20.000,Recuperação,,,,,,São Paulo
,Usina 52,Grupo AE,31.000,Ativa,,,,,,São Paulo
,Usina 71,Grupo CC,31.000,Ativa,,,,,,Goiás
,Usina 131,Grupo BY,30.750,Ativa,,,,,,Paraná
,Usina 235,Grupo AE,20.000,Ativa,,,,,,São Paulo
,Usina 173,Grupo BX,30.000,Ativa,,,,,,São Paulo
,Usina 236,Grupo BX,24.000,Ativa,,,,,,São Paulo
,Usina 53,Grupo CE,30.000,Recuperação,,,,,,Mato Grosso do Sul
,Usina 86,Grupo I,30.000,Recuperação,,,,,,São Paulo
,Usina 98,Grupo CH,30.000,Ativa,,,,,,São Paulo
,Usina 66,Grupo BD,29.750,Ativa,,,,,,São Paulo
,Usina 256,Grupo BY,28.500,Recuperação,,,,,,Paraná
,Usina 34,Grupo BT,29.000,Recuperação,,,,,,Alagoas
,Usina 119,Grupo BY,28.750,Recuperação,,,,,,Paraná
,Usina 147,Grupo BX,28.750,Ativa,,,,,,São Paulo
,Usina 257,Grupo BV,32.750,Ativa,,,,,,São Paulo
,Usina 113,Grupo BL,28.500,Ativa,,,,,,Minas Gerais
,Usina 145,Grupo N,28.500,Ativa,,,,,,São Paulo
,Usina 200,Grupo N,28.500,Ativa,,,,,,São Paulo
,Usina 260,Grupo AE,30.000,Ativa,,,,,,Minas Gerais
,Usina 263,Grupo AV,23.500,Ativa,,,,,,Minas Gerais
,Usina 267,Grupo CD,25.750,Ativa,,,,,,São Paulo
,Usina 268,Grupo E,28.750,Recuperação,,,,,,São Paulo
,Usina 38,Grupo CI,28.500,Recuperação,,,,,,Goiás
,Usina 1,Grupo C,27.000,Ativa,,,,,,Mato Grosso do Sul
,Usina 41,Grupo B,27.000,Ativa,,,,,,São Paulo
,Usina 7,Grupo H,27.000,Ativa,,,,,,Minas Gerais
,Usina 30,Grupo W,61.114,Ativa,,,,,,Minas Gerais
,Usina 185,Grupo AS,26.000,Ativa,,,,,,São Paulo
,Usina 301,Grupo P,20.000,Ativa,,,,,,Minas Gerais
,Usina 313,Grupo X,26.000,Recuperação,,,,,,Paraná
,Usina 155,Grupo N,25.750,Ativa,,,,,,Minas Gerais
,Usina 322,Grupo AD,25.750,Ativa,,,,,,São Paulo
,Usina 326,Grupo BY,25.750,Recuperação,,,,,,Paraná
,Usina 330,Grupo AW,26.500,Fechado,,,,,,Alagoas
,Usina 350,Grupo AQ,20.000,Recuperação,,,,,,São Paulo
,Usina 42,Grupo BU,25.000,Ativa,,,,,,Rio Grande do Norte
,Usina 117,Grupo BC,24.200,Ativa,,,,,,Pernambuco
,Usina 151,Grupo BY,24.200,Recuperação,,,,,,Paraná
,Usina 156,Grupo BQ,24.200,Ativa,,,,,,São Paulo
,Usina 361,Grupo AG,20.000,Recuperação,,,,,,São Paulo
,Usina 54,Grupo BS,24.000,Ativa,,,,,,Mato Grosso do Sul
,Usina 133,Grupo BX,23.500,Ativa,,,,,,São Paulo
,Usina 363,Grupo BT,29.200,Recuperação,,,,,,Alagoas
,Usina 130,Grupo AV,23.000,Ativa,,,,,,Goiás
,Usina 193,Grupo BX,23.000,Ativa,,,,,,São Paulo
,Usina 199,Grupo AU,23.000,Ativa,,,,,,Goiás
,Usina 370,Grupo CN,31.000,Ativa,,,,,,São Paulo
,Usina 6,Grupo AX,23.000,Ativa,,,,,,Pernambuco
,Usina 376,Grupo Z,28.500,Recuperação,,,,,,Mato Grosso do Sul
,Usina 11,Grupo M,20.000,Fechado,,,,,,Espírito Santo
,Usina 121,Grupo BC,20.000,Ativa,,,,,,Piauí
,Usina 384,Grupo BI,31.000,Ativa,,,,,,Alagoas
,Usina 166,Grupo BX,20.000,Ativa,,,,,,São Paulo
,Usina 2,Grupo D,20.000,Ativa,,,,,,Rio de Janeiro
,Usina 392,Grupo BW,20.000,Ativa,,,,,,Minas Gerais
,Usina 396,Grupo CL,22.000,Recuperação,,,,,,Alagoas
,Usina 399,Grupo T,20.000,Recuperação,,,,,,Alagoas
,Usina 400,Grupo R,20.000,Ativa,,,,,,Mato Grosso do Sul
,Usina 45,Grupo AE,23.000,Ativa,,,,,,São Paulo
,Usina 76,Grupo CK,47.143,Ativa,,,,,,São Paulo
,Usina 77,Grupo BJ,58.571,Ativa,,,,,,São Paulo
,Usina 81,Grupo BN,50.000,Ativa,,,,,,São Paulo
